GFC Code,Size,Name,Type, Price ,filename used,size (g),category
FF 10325 1Kg,1000,Inspiration From Butterfly by Hanae Mori   ,Feminine,"5,474.56",1000ml-Inspiration From Butterfly by Hanae Mori   ,1000g,Fragrances
FF 10405 1Kg,1000,Inspiration From Parisienne A L'Extreme   ,Feminine,"4,802.56",1000ml-Inspiration From Parisienne A L'Extreme   ,1000g,Fragrances
FF 10098 1Kg,1000,Inspiration From Pure Grace  ,Feminine,"4,802.56",1000ml-Inspiration From Pure Grace  ,1000g,Fragrances
SG 40005 1Kg,1000,Inspiration From Grapefruit Premium   ,Gourmand,"4,480.00",1000ml-Inspiration From Grapefruit Premium   ,1000g,Fragrances
FF 10090 1Kg,1000,Inspiration From Hugo Femme (ver Sub)   ,Feminine,"4,477.76",1000ml-Inspiration From Hugo Femme (ver Sub)   ,1000g,Fragrances
MF 20126 1Kg,1000,Inspiration From Weekend (ver Fr)   ,Masculine,"4,354.56",1000ml-Inspiration From Weekend (ver Fr)   ,1000g,Fragrances
BP 10035 1Kg,1000,Inspiration From Kenzo Flower   ,Feminine,"4,312.00",1000ml-Inspiration From Kenzo Flower   ,1000g,Fragrances
MF 20162 1Kg,1000,Inspiration From Aqua Bvlgari Men ,Masculine,"4,256.00",1000ml-Inspiration From Aqua Bvlgari Men ,1000g,Fragrances
FF 10297 1Kg,1000,Inspiration From Baby Tous   ,Feminine,"4,256.00",1000ml-Inspiration From Baby Tous   ,1000g,Fragrances
MF 20184 1Kg,1000,Inspiration From BaldessariniStrictly Private   ,Masculine,"4,256.00",1000ml-Inspiration From BaldessariniStrictly Private   ,1000g,Fragrances
FF 10406 1Kg,1000,Inspiration From Be Delicious Night DKNY   ,Feminine,"4,256.00",1000ml-Inspiration From Be Delicious Night DKNY   ,1000g,Fragrances
MF 20251 1Kg,1000,Inspiration From Black XS L'Excess  ,Masculine,"4,256.00",1000ml-Inspiration From Black XS L'Excess  ,1000g,Fragrances
MF 20199 1kg,1000,Inspiration From Burberry Sport   ,Masculine,"4,256.00",1000ml-Inspiration From Burberry Sport   ,1000g,Fragrances
FF 10362 1Kg,1000,Inspiration From Bvlgari Amethyst  ,Feminine,"4,256.00",1000ml-Inspiration From Bvlgari Amethyst  ,1000g,Fragrances
FF 10517 1Kg,1000,Inspiration From Chanel Chance  ,Feminine,"4,256.00",1000ml-Inspiration From Chanel Chance  ,1000g,Fragrances
MF 20200 1kg,1000,Inspiration From Cool Water Ice Fresh   ,Masculine,"4,256.00",1000ml-Inspiration From Cool Water Ice Fresh   ,1000g,Fragrances
FF 10310 1Kg,1000,Inspiration From Dream of Pink   ,Feminine,"4,256.00",1000ml-Inspiration From Dream of Pink   ,1000g,Fragrances
FF 10309 1Kg,1000,Inspiration From Eau de Hermes   ,Feminine,"4,256.00",1000ml-Inspiration From Eau de Hermes   ,1000g,Fragrances
MF 20215 1Kg,1000,Inspiration From Gucci Guilty   ,Masculine,"4,256.00",1000ml-Inspiration From Gucci Guilty   ,1000g,Fragrances
MF 20160 1Kg,1000,Inspiration From Jovan Musk   ,Masculine,"4,256.00",1000ml-Inspiration From Jovan Musk   ,1000g,Fragrances
MF 20243 1Kg,1000,Inspiration From L'Homme Libre by YSL  ,Masculine,"4,256.00",1000ml-Inspiration From L'Homme Libre by YSL  ,1000g,Fragrances
MF 20175 1Kg,1000,Inspiration From Lacoste Challenge   ,Masculine,"4,256.00",1000ml-Inspiration From Lacoste Challenge   ,1000g,Fragrances
MF 20219 1Kg,1000,Inspiration From Lacoste Green (Vert)   ,Masculine,"4,256.00",1000ml-Inspiration From Lacoste Green (Vert)   ,1000g,Fragrances
MF 20225 1Kg,1000,Inspiration From Lacoste White (Blanc)   ,Masculine,"4,256.00",1000ml-Inspiration From Lacoste White (Blanc)   ,1000g,Fragrances
FF 10376 1kg,1000,Inspiration From Le Paradis De Nina   ,Feminine,"4,256.00",1000ml-Inspiration From Le Paradis De Nina   ,1000g,Fragrances
FF 10300 1Kg,1000,Inspiration From Moonsparkle   ,Feminine,"4,256.00",1000ml-Inspiration From Moonsparkle   ,1000g,Fragrances
MF 20137 1Kg,1000,Inspiration From Polo Double Black   ,Masculine,"4,256.00",1000ml-Inspiration From Polo Double Black   ,1000g,Fragrances
