Product Code,Category,Description,Size, Price in Php ,size (g),FILENAME USED,size(ml)
JA 001,Jars,Acrylic Curve Jar with Akok Cover,50,56,50g,50-Acrylic Curve Jar with Akok Cover,
JA 002,Jars,Acrylic Curve Jar with Bio Cover,50,56,50g,50-Acrylic Curve Jar with Bio Cover,
JA 009,Jars,Acrylic Jar,20,11.2,20g,20-Acrylic Jar,
JA 006,Jars,Acrylic Straight Jar with Bio Cover and Tray,50,56,50g,50-Acrylic Straight Jar with Bio Cover and Tray,
JA 010,Jars,Akok Jar with Akok Cover,30,13.44,30g,30-Akok Jar with Akok Cover,
JA 011,Jars,Akok Jar with Akok Cover,60,13.44,60g,60-Akok Jar with Akok Cover,
JA 012,Jars,Bart Jar,15,12.32,15g,15-Bart Jar,
JA 013,Jars,Bart Jar,30,12.32,30g,30-Bart Jar,
JA 014,Jars,Bart Jar,50,12.32,50g,50-Bart Jar,
JA 015,Jars,Bio Jar with Akok Cover,50,11.2,50g,50-Bio Jar with Akok Cover,
JA 016,Jars,Bio Jar with Bio Cover,50,11.2,50g,50-Bio Jar with Bio Cover,
JA 017,Jars,Circle Jar,50,12.32,50g,50-Circle Jar,
JA 018,Jars,Cream Jar ,10,6.72,10g,10-Cream Jar ,
JA 019,Jars,Cream Jar ,5,5.6,5g,5-Cream Jar ,
JA 044,Jars,Crystal Jar ,15,36.96,15g,15-Crystal Jar ,
JA 045,Jars,Crystal Jar ,30,42,30g,30-Crystal Jar ,
JA 020,Jars,Cube Jar ,5,6.72,5g,5-Cube Jar ,
JA 024,Jars,Magic Cream Jar ,60,8.96,60g,60-Magic Cream Jar ,
JA 025,Jars,Mini Loose Powder Case ,30,11.2,30g,30-Mini Loose Powder Case ,
JA 026,Jars,Muji Jar ,100,16.8,100g,100-Muji Jar ,
PT 021,Jars,PET Jar with Cover,150,14.56,150g,150-PET Jar with Cover,
PT 022,Jars,PET Jar with Cover,300,16.8,300g,300-PET Jar with Cover,
PT 023,Jars,PET Jar with Cover,500,19.04,500g,500-PET Jar with Cover,
JA 048,Jars,PET Jar with Sealer and Cap,100,13.44,100g,100-PET Jar with Sealer and Cap,
JA 028,Jars,PT White Jar ,15,10.08,15g,15-PT White Jar ,
JA 029,Jars,PT White Jar with strip lining,15,11.2,15g,15-PT White Jar with strip lining,
JA 047,Jars,PT White Jar Base Frosted with Cap White,15,22.4,15g,15-PT White Jar Base Frosted with Cap White,
JA 030,Jars,Rice Jar 1 ,10,6.72,10g,10-Rice Jar 1 ,
JA 031,Jars,Rice Jar 1 ,5,6.72,5g,5-Rice Jar 1 ,
JA 032,Jars,Rice Jar 2 ,8,6.16,8g,8-Rice Jar 2 ,
JA 033,Jars,Space Jar ,15,12.32,15g,15-Space Jar ,
JA 034,Jars,Square Jar ,15,12.32,15g,15-Square Jar ,
JA 035,Jars,Square Jar ,30,12.32,30g,30-Square Jar ,
JA 040,Jars,Tubs Jar,50,8.4,50g,50-Tubs Jar,
JA 043,Jars,Tubs Jar ,200,10.64,200g,200-Tubs Jar ,
JA 038,Jars,Tubs Jar ,100,9.52,100g,100-Tubs Jar ,
JA 039,Jars,Tubs Jar ,10,5.6,10g,10-Tubs Jar ,
JA 041,Jars,Vita Talc Jar,20,10.08,20g,20-Vita Talc Jar,
PT 024,Jars,Vitamin Jar with cover,300,16.8,300g,300-Vitamin Jar with cover,
PT 025,Jars,Vitamin Jar with cover,500,19.04,500g,500-Vitamin Jar with cover,
