Product Code,Category,Size,Bottle,Cap, Price in Php ,FILENAME USED
PT 033,PET Bottles,100ml,Banana,Aluminum Fake Cap,8.96,100ml-Banana-+-Aluminum Fake Cap
PT 035,PET Bottles,100ml,Banana,Aluminum Screw Pump,15.68,100ml-Banana-+-Aluminum Screw Pump
PT 036,PET Bottles,100ml,Banana,Ardent Fliptop Cap,9.52,100ml-Banana-+-Ardent Fliptop Cap
PT 038,PET Bottles,100ml,Banana,Disc Cap,10.64,100ml-Banana-+-Disc Cap
PT 039,PET Bottles,100ml,Banana,Gel Pump,13.44,100ml-Banana-+-Gel Pump
PT 041,PET Bottles,100ml,Banana,Lotion Pump Flat,13.44,100ml-Banana-+-Lotion Pump Flat
PT 042,PET Bottles,100ml,Banana,Mushroom Fliptop Cap,9.52,100ml-Banana-+-Mushroom Fliptop Cap
PT 043,PET Bottles,100ml,Banana,Mushroom Screw Cap,9.52,100ml-Banana-+-Mushroom Screw Cap
PT 045,PET Bottles,100ml,Banana,Pump Spray,12.32,100ml-Banana-+-Pump Spray
PT 046,PET Bottles,100ml,Banana,Pump Spray Fancy,24.64,100ml-Banana-+-Pump Spray Fancy
PT 047,PET Bottles,100ml,Banana,Pump Spray Shroud,19.04,100ml-Banana-+-Pump Spray Shroud
PT 050,PET Bottles,100ml,Boston,Aluminum Fake Cap,7,100ml-Boston-+-Aluminum Fake Cap
PT 052,PET Bottles,100ml,Boston,Aluminum Screw Pump,14.56,100ml-Boston-+-Aluminum Screw Pump
PT 053,PET Bottles,100ml,Boston,Ardent Fliptop Cap,7.84,100ml-Boston-+-Ardent Fliptop Cap
PT 054,PET Bottles,100ml,Boston,Ball Fliptop Cap,8.96,100ml-Boston-+-Ball Fliptop Cap
PT 055,PET Bottles,100ml,Boston,Disc Cap,7.84,100ml-Boston-+-Disc Cap
PT 056,PET Bottles,100ml,Boston,Gel Pump,12.32,100ml-Boston-+-Gel Pump
PT 058,PET Bottles,100ml,Boston,Lotion Pump Flat,12.32,100ml-Boston-+-Lotion Pump Flat
PT 059,PET Bottles,100ml,Boston,Mushroom Fliptop Cap,7.84,100ml-Boston-+-Mushroom Fliptop Cap
PT 060,PET Bottles,100ml,Boston,Mushroom Screw Cap,7.84,100ml-Boston-+-Mushroom Screw Cap
PT 061,PET Bottles,100ml,Boston,Mushroom Talc,7.84,100ml-Boston-+-Mushroom Talc
PT 063,PET Bottles,100ml,Boston,Pump Spray Fancy,23.52,100ml-Boston-+-Pump Spray Fancy
PT 064,PET Bottles,100ml,Boston,Pump Spray Shroud,16.8,100ml-Boston-+-Pump Spray Shroud
PT 065,PET Bottles,100ml,Boston,Push Pull Cap,8.96,100ml-Boston-+-Push Pull Cap
PT 084,PET Bottles,100ml,Hugo,Aluminum Fake Cap,7.84,100ml-Hugo-+-Aluminum Fake Cap
PT 086,PET Bottles,100ml,Hugo,Aluminum Screw Pump,14.56,100ml-Hugo-+-Aluminum Screw Pump
PT 087,PET Bottles,100ml,Hugo,Ardent Fliptop Cap,8.4,100ml-Hugo-+-Ardent Fliptop Cap
PT 088,PET Bottles,100ml,Hugo,Ball Fliptop Cap,9.52,100ml-Hugo-+-Ball Fliptop Cap
PT 089,PET Bottles,100ml,Hugo,Disc Cap,8.4,100ml-Hugo-+-Disc Cap
PT 090,PET Bottles,100ml,Hugo,Gel Pump,12.32,100ml-Hugo-+-Gel Pump
PT 092,PET Bottles,100ml,Hugo,Lotion Pump Flat,12.32,100ml-Hugo-+-Lotion Pump Flat
PT 093,PET Bottles,100ml,Hugo,Mushroom Fliptop Cap,8.4,100ml-Hugo-+-Mushroom Fliptop Cap
PT 094,PET Bottles,100ml,Hugo,Mushroom Screw Cap,8.4,100ml-Hugo-+-Mushroom Screw Cap
PT 096,PET Bottles,100ml,Hugo,Pump Spray,11.2,100ml-Hugo-+-Pump Spray
PT 097,PET Bottles,100ml,Hugo,Pump Spray Fancy,23.52,100ml-Hugo-+-Pump Spray Fancy
PT 098,PET Bottles,100ml,Hugo,Pump Spray Shroud,16.8,100ml-Hugo-+-Pump Spray Shroud
PT 101,PET Bottles,100ml,Janina,Aluminum Fake Cap,7.84,100ml-Janina-+-Aluminum Fake Cap
PT 103,PET Bottles,100ml,Janina,Aluminum Screw Pump,14.56,100ml-Janina-+-Aluminum Screw Pump
PT 104,PET Bottles,100ml,Janina,Ardent Fliptop Cap,7.84,100ml-Janina-+-Ardent Fliptop Cap
PT 105,PET Bottles,100ml,Janina,Ball Fliptop Cap,9.52,100ml-Janina-+-Ball Fliptop Cap
PT 106,PET Bottles,100ml,Janina,Disc Cap,8.4,100ml-Janina-+-Disc Cap
PT 107,PET Bottles,100ml,Janina,Gel Pump,12.32,100ml-Janina-+-Gel Pump
PT 109,PET Bottles,100ml,Janina,Lotion Pump Flat,12.32,100ml-Janina-+-Lotion Pump Flat
PT 110,PET Bottles,100ml,Janina,Mushroom Fliptop Cap,7.84,100ml-Janina-+-Mushroom Fliptop Cap
PT 111,PET Bottles,100ml,Janina,Mushroom Screw Cap,8.4,100ml-Janina-+-Mushroom Screw Cap
PT 113,PET Bottles,100ml,Janina,Pump Spray,11.2,100ml-Janina-+-Pump Spray
PT 114,PET Bottles,100ml,Janina,Pump Spray Fancy,23.52,100ml-Janina-+-Pump Spray Fancy
PT 115,PET Bottles,100ml,Janina,Pump Spray Shroud,16.8,100ml-Janina-+-Pump Spray Shroud
PT 120,PET Bottles,100ml,Milk Jr,Aluminum Fake Cap,7,100ml-Milk Jr-+-Aluminum Fake Cap
PT 122,PET Bottles,100ml,Milk Jr,Aluminum Screw Pump,14.56,100ml-Milk Jr-+-Aluminum Screw Pump
PT 123,PET Bottles,100ml,Milk Jr,Ardent Fliptop Cap,7.84,100ml-Milk Jr-+-Ardent Fliptop Cap
PT 124,PET Bottles,100ml,Milk Jr,Ball Fliptop Cap,8.96,100ml-Milk Jr-+-Ball Fliptop Cap
PT 125,PET Bottles,100ml,Milk Jr,Disc Cap,7.84,100ml-Milk Jr-+-Disc Cap
PT 126,PET Bottles,100ml,Milk Jr,Gel Pump,12.32,100ml-Milk Jr-+-Gel Pump
PT 128,PET Bottles,100ml,Milk Jr,Lotion Pump Flat,12.32,100ml-Milk Jr-+-Lotion Pump Flat
PT 129,PET Bottles,100ml,Milk Jr,Mushroom Fliptop Cap,7.84,100ml-Milk Jr-+-Mushroom Fliptop Cap
PT 130,PET Bottles,100ml,Milk Jr,Mushroom Screw Cap,7.84,100ml-Milk Jr-+-Mushroom Screw Cap
PT 132,PET Bottles,100ml,Milk Jr,Pump Spray,10.64,100ml-Milk Jr-+-Pump Spray
PT 133,PET Bottles,100ml,Milk Jr,Pump Spray Fancy,23.52,100ml-Milk Jr-+-Pump Spray Fancy
PT 134,PET Bottles,100ml,Milk Jr,Pump Spray Shroud,16.8,100ml-Milk Jr-+-Pump Spray Shroud
PT 137,PET Bottles,100ml,Oval,Aluminum Fake Cap,7,100ml-Oval-+-Aluminum Fake Cap
PT 139,PET Bottles,100ml,Oval,Aluminum Screw Pump,14.56,100ml-Oval-+-Aluminum Screw Pump
PT 140,PET Bottles,100ml,Oval,Ardent Fliptop Cap,7.84,100ml-Oval-+-Ardent Fliptop Cap
PT 141,PET Bottles,100ml,Oval,Ball Fliptop Cap,8.96,100ml-Oval-+-Ball Fliptop Cap
PT 142,PET Bottles,100ml,Oval,Disc Cap,7.84,100ml-Oval-+-Disc Cap
PT 143,PET Bottles,100ml,Oval,Gel Pump,12.32,100ml-Oval-+-Gel Pump
PT 145,PET Bottles,100ml,Oval,Lotion Pump Flat,12.32,100ml-Oval-+-Lotion Pump Flat
PT 146,PET Bottles,100ml,Oval,Mushroom Fliptop Cap,7.84,100ml-Oval-+-Mushroom Fliptop Cap
PT 147,PET Bottles,100ml,Oval,Mushroom Screw Cap,7.84,100ml-Oval-+-Mushroom Screw Cap
PT 149,PET Bottles,100ml,Oval,Pump Spray,10.08,100ml-Oval-+-Pump Spray
PT 150,PET Bottles,100ml,Oval,Pump Spray Fancy,23.52,100ml-Oval-+-Pump Spray Fancy
PT 151,PET Bottles,100ml,Oval,Pump Spray Shroud,16.8,100ml-Oval-+-Pump Spray Shroud
PT 171,PET Bottles,100ml,Rectangular,Aluminum Fake Cap,8.4,100ml-Rectangular-+-Aluminum Fake Cap
PT 173,PET Bottles,100ml,Rectangular,Aluminum Screw Pump,15.68,100ml-Rectangular-+-Aluminum Screw Pump
PT 174,PET Bottles,100ml,Rectangular,Ardent Fliptop Cap,8.96,100ml-Rectangular-+-Ardent Fliptop Cap
PT 175,PET Bottles,100ml,Rectangular,Ball Fliptop Cap,10.08,100ml-Rectangular-+-Ball Fliptop Cap
PT 176,PET Bottles,100ml,Rectangular,Disc Cap,10.08,100ml-Rectangular-+-Disc Cap
PT 177,PET Bottles,100ml,Rectangular,Gel Pump,13.44,100ml-Rectangular-+-Gel Pump
PT 179,PET Bottles,100ml,Rectangular,Lotion Pump Flat,13.44,100ml-Rectangular-+-Lotion Pump Flat
PT 180,PET Bottles,100ml,Rectangular,Mushroom Fliptop Cap,8.96,100ml-Rectangular-+-Mushroom Fliptop Cap
PT 181,PET Bottles,100ml,Rectangular,Mushroom Screw Cap,8.96,100ml-Rectangular-+-Mushroom Screw Cap
PT 183,PET Bottles,100ml,Rectangular,Pump Spray,11.76,100ml-Rectangular-+-Pump Spray
PT 184,PET Bottles,100ml,Rectangular,Pump Spray Fancy,24.64,100ml-Rectangular-+-Pump Spray Fancy
PT 185,PET Bottles,100ml,Rectangular,Pump Spray Shroud,17.92,100ml-Rectangular-+-Pump Spray Shroud
