"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","meta:total_sales","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_fragrance-type","attribute_data:pa_fragrance-type","attribute_default:pa_fragrance-type","attribute:pa_size","attribute_data:pa_size","attribute_default:pa_size","attribute:pa_size-g","attribute_data:pa_size-g","attribute_default:pa_size-g","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"Hugo PET Bottle","hugo-pet-bottle","40","","Triangle-shaped PET bottle for your perfume, lotion and other beauty products.","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","0","instock","no","no","500","","","","","","","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Hugo-+-Ardent-600x600.jpg","simple","pet bottles","","","0","Aluminum Screw Cap|Aluminum Screw Pump (ASP)|Ardent Fliptop Cap|Gel Pump|Lotion Pump Flat|Mushroom Fliptop Cap|Mushroom Screw Cap|Pump Spray|Trigger Spray|Z Fliptop Cap","0|0|0","","","","","1kg|3.75kg|30g","1|0|0","","","","","","",""
"Oval PET Bottle","oval-pet-bottle","136","","Oval-shaped PET Bottle for your perfume, fragrances, lotion, compounds and other beauty products.","draft","0","2013-07-31 06:32:30","0","open","","no","no","visible","","instock","no","no","","","","","","","","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Oval-+-Lotion-Pump-Flat.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/20ml-Boston-+-AFC.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/20ml-Boston-+-Ardent.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/20ml-Boston-+-Ardent1.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Oval-+-Ardent-Clear.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/150ml-Boston-+-Aluminun-Screw-Pump.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/20ml-Boston-+-Ardent2.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Gel-Pump-Shroud.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Lotion-Pump-Flat.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Mushroom-Fliptop.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Mushroom-Screw.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-Pump-Spray-Fancy.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/08/50ml-Oval-+-Pump-Spray.jpg","variable","pet bottles","","","2","Aluminum Fake Cap (AFC)|Aluminum Screw Pump (ASP)|Ardent Fliptop Cap|Ball Fliptop Cap|Ball Screw Cap|Disc Cap|Fireman Spray|Gel Pump|Gel Pump Shroud|Lotion Pump Flat|Lotion Pump Twist|Mushroom Fliptop Cap|Mushroom Screw Cap|Pump Spray|Pump Spray Fancy|Pump Spray Shroud|Trigger Spray|Z Fliptop Cap","1|0|1","","","","","","","","","","","100ml|200ml|30ml|50ml","0|0|1",""
"Banana PET Bottle","banana-pet-bottle","148","","Banana-shaped PET bottles perfect for your perfumes, lotions and other compounds.","draft","0","2013-07-31 06:43:42","0","open","","no","no","visible","","instock","no","no","","","","","","","","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Ardent.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Aluminum-Screw-Pump.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Ardent1.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Disc-450x450.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Gel-Pump.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Mushroom-Fliptop.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-Pump-Spray-Fancy.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Oval-+-Lotion-Pump-Flat.jpg|http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Banana-+-AFC.jpg","variable","pet bottles","","","0","Aluminum Fake Cap (AFC)|Aluminum Screw Pump (ASP)|Ardent Fliptop Cap|Ball Fliptop Cap|Disc Cap|Gel Pump|Gel Pump Shroud|Lotion Pump Flat|Mushroom Fliptop Cap|Mushroom Screw Cap|Mushroom Talc|Pump Spray|Pump Spray Fancy|Pump Spray Shroud|Push Pull Cap|Sephora Cap","4|1|1","","","","","","","","","","","100ml","3|1|1",""
"Boston PET Bottle","boston-pet-bottle","158","","100ml Boston PET bottle for perfume, lotion, and other beauty products.","publish","0","2013-07-03 10:38:46","0","open","","no","no","visible","","instock","no","no","","","","","","","","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2013/07/100ml-Boston-+-AFC2.jpg","variable","pet bottles","","","13","Aluminum Fake Cap (AFC)|Aluminum Screw Pump (ASP)|Ardent Fliptop Cap|Ball Fliptop Cap|Disc Cap|Gel Pump|Gel Pump Shroud|Lotion Pump Flat|Mandarin Cap|Mushroom Fliptop Cap|Mushroom Screw Cap|Pump Spray|Pump Spray Fancy|Pump Spray Shroud|Push Pull Cap|Sephora Cap|Z Fliptop Cap","3|1|1","","","","","","","","","","","100ml|150ml|200ml|20ml|250ml|300ml|400ml|500ml|50ml","2|1|1",""
"10Kg Body Scrub","10kg-body-scrub-3","996","","Body Scrub","publish","0","2013-07-25 02:43:08","0","open","CP 053 10Kg Packing","no","no","visible","","instock","no","no","1736.00","","","","","","","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/10Kg-Body-Scrub.jpg","simple","compounds","","","0","","","","","","","10kg","0|1|0","","","","","","",""
"1Kg Body Scrub","1kg-body-scrub-3","998","","Body Scrub","publish","0","2013-07-25 02:43:08","0","open","CP 053 1Kg Packing","no","no","visible","","instock","no","no","190.4","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Kg-Body-Scrub.jpg","simple","compounds","","","","","","","","","","1kg","0|1|0","","","","","","",""
"10Kg Body Wash","10kg-body-wash-3","1000","","Body Wash","publish","0","2013-07-25 02:43:08","0","open","CP 050 10Kg Packing","no","no","visible","","instock","no","no","1176.00","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/10Kg-Body-Wash.jpg","simple","compounds","","","","","","","","","","10kg","0|1|0","","","","","","",""
"1Kg Body Wash","1kg-body-wash-3","1002","","Body Wash","publish","0","2013-07-25 02:43:08","0","open","CP 050 1Kg Packing","no","no","visible","","instock","no","no","134.4","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Kg-Body-Wash.jpg","simple","compounds","","","","","","","","","","1kg","0|1|0","","","","","","",""
"10Kg Conditioner","10kg-conditioner-3","1004","","Conditioner","publish","0","2013-07-25 02:43:08","0","open","CP 051 10Kg Packing","no","no","visible","","instock","no","no","1176.00","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/10Kg-Conditioner.jpg","simple","compounds","","","","","","","","","","10kg","0|1|0","","","","","","",""
"1Kg Conditioner","1kg-conditioner-3","1006","","Conditioner","publish","0","2013-07-25 02:43:08","0","open","CP 051 1Kg Packing","no","no","visible","","instock","no","no","134.4","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Kg-Conditioner.jpg","simple","compounds","","","","","","","","","","1kg","0|1|0","","","","","","",""
"1Ltr Denatured","1ltr-denatured-3","1008","","Denatured","publish","0","2013-07-25 02:43:08","0","open","CP 034","no","no","visible","","instock","no","no","134.4","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Ltr-Denatured.jpg","simple","compounds","","","","","","","","","","1Ltr","0|1|0","","","","","","",""
"1Gal Denatured","1gal-denatured-3","1010","","Denatured","publish","0","2013-07-25 02:43:08","0","open","CP 055","no","no","visible","","instock","no","no","421.12","","","","","","none","","","","no","","","","","","","","","","","","","http://grassefragrance.com/wordpress/wp-content/uploads/2014/01/1Gal-Denatured.jpg","simple","compounds","","","","","","","","","","1Gal","0|1|0","","","","","","",""
