"post_title","post_name","ID","post_excerpt","post_content","post_status","menu_order","post_date","post_parent","comment_status","sku","downloadable","virtual","visibility","stock","stock_status","backorders","manage_stock","regular_price","sale_price","weight","length","width","height","tax_status","tax_class","upsell_ids","crosssell_ids","featured","sale_price_dates_from","sale_price_dates_to","file_path","file_paths","download_limit","download_expiry","product_url","button_text","meta:_yoast_wpseo_focuskw","meta:_yoast_wpseo_title","meta:_yoast_wpseo_metadesc","meta:_yoast_wpseo_metakeywords","images","tax:product_type","tax:product_cat","tax:product_tag","tax:product_shipping_class","attribute:pa_cap","attribute_data:pa_cap","attribute_default:pa_cap","attribute:pa_size-ml","attribute_data:pa_size-ml","attribute_default:pa_size-ml"
"Dazzle","dazzle","7","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Dazzle-+-Pump-Spray-Fancy.jpg","variable","Glass Bottles","","","Pump Spray Fancy","1|1|1","","30ml","0|1|1",""
"Amber Frosted","amber-frosted","9","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/120-Amber-Frosted-+-Aluminum-Fake-Cap.jpg","variable","Glass Bottles","","","Aluminum Fake Cap","1|1|1","","120ml","0|1|1",""
"Hugo Frosted","hugo-frosted","11","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Hugo-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/40-Hugo-Frosted-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","30ml|40ml","0|1|1",""
"Round Frosted","round-frosted","25","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/100-Round-Frosted-+-Lotion-Pump-Flat-or-Twist.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/8-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/5-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/12-Round-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Round-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Round-Frosted-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Lotion Pump Flat or Twist|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","100ml|10ml|12ml|30ml|5ml|8ml","0|1|1",""
"Sexy Frosted","sexy-frosted","44","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Sexy-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Sexy-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Sexy-Frosted-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","120ml|30ml|50ml","0|1|1",""
"Cobalt Blue","cobalt-blue","65","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue-+-Metal-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Metal-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue-+-Metal-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue-+-Aluminum-Fake-Cap-+-Stopper.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Aluminum-Screw-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue-+-Lotion-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/10-Cobalt-Blue-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/30-Cobalt-Blue-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Cobalt-Blue-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/120-Cobalt-Blue-+-Pump-Spray.jpg","variable","Glass Bottles","","","Aluminum Fake Cap|Aluminum Fake Cap-+-Stopper|Aluminum Screw Pump Spray|Gel Pump|Lotion Pump|Metal Cap|Pump Spray","1|1|1","","10ml|120ml|30ml|60ml","0|1|1",""
"Tubular Frosted","tubular-frosted","87","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/80-Tubular-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-Frosted-+-Pump-Spray-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Tubular-Frosted-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","50ml|60ml|80ml","0|1|1",""
"Round YL","round-yl","102","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Aluminum Fake Cap|Gel Pump|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","60ml","0|1|1",""
"Round YL Frosted","round-yl-frosted","109","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/100-Round-YL-Frosted-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Gel-Pump.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Gel-Pump-Shroud.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/100-Round-YL-Frosted-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Pump-Spray-Fancy-Silver-Matte.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Pump-Spray-Fancy-Silver-Shiny.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/60-Round-YL-Frosted-+-Pump-Spray-Shroud.jpg","variable","Glass Bottles","","","Aluminum Fake Cap|Gel Pump|Gel Pump Shroud|Pump Spray|Pump Spray Fancy Silver Matte|Pump Spray Fancy Silver Shiny|Pump Spray Shroud","1|1|1","","100ml|60ml","0|1|1",""
"Tubular","tubular","119","","","publish","0","2013-07-25 02:43:08","0","open","","no","no","visible","","instock","no","no","","","","","","","none","","","","no","","","","","","","","","","","","","http://localhost/wordpress/wp-content/uploads/2014/01/50-Tubular-+-Aluminum-Fake-Cap.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/85-Tubular-+-Pump-Spray.jpg|http://localhost/wordpress/wp-content/uploads/2014/01/85-Tubular-+-Pump-Spray-Fancy-Silver-Shiny.jpg","variable","Glass Bottles","","","Aluminum Fake Cap|Pump Spray|Pump Spray Fancy Silver Shiny","1|1|1","","50ml|85ml","0|1|1",""
